,section1,section2
2,"{'km_range': [3.048, 3.113], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (148963 408520, 148910 408484)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (148088 407562, 148099 407577, 148155 407660, 148240 407787, 148...>}"
10,"{'km_range': [2.791, 2.825], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (149201 408672, 149173 408653)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'L', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150135 409031, 150109 409016, 150094 409010, 150076 409002, 150...>}"
25,"{'km_range': [2.825, 2.97], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (149173 408653, 149037 408558)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'L', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150135 409031, 150109 409016, 150094 409010, 150076 409002, 150...>}"
32,"{'km_range': [3.113, 3.24], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (148910 408484, 148807 408413)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (148088 407562, 148099 407577, 148155 407660, 148240 407787, 148...>}"
43,"{'km_range': [3.24, 3.294], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (148807 408413, 148763 408382)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (148088 407562, 148099 407577, 148155 407660, 148240 407787, 148...>}"
45,"{'km_range': [119.122, 119.93], 'properties': {6: 'Vluchtstrook'}, 'geometry': <LINESTRING (150197 409078, 150235 409091, 150253 409098, 150272 409105, 150...>}","{'km_range': [119.122, 119.128], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook', 4: 'Rijstrook', 5: 'Rijstrook'}, 'geometry': <LINESTRING (150895 409462, 150867 409445)>}"
70,"{'km_range': [118.54, 118.567], 'properties': {'Maximumsnelheid': 80}, 'geometry': <LINESTRING (151003 409301, 151026 409313)>}","{'km_range': [118.54, 119.049], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook'}, 'geometry': <LINESTRING (150965 409466, 150988 409472, 151042 409498, 151060 409506, 151...>}"
